word	contexts	definitions	hypernyms	domain	labels
comparison	they made a comparison of noise levels	the act of examining resemblances	['examination', 'scrutiny']	0	1
yogi	Gurdjieff connects this type of breathing with yogi breathing .	one who practices yoga and has achieved a high level of spiritual insight	['philosopher']	0	1
delirium	Agitation as a result of disorientation and confusion may also occur in delirium which can create an especially hazardous situation , as delirious patients are at risk of wandering , falling , pulling out IV lines or nasogastric tubing and harming themselves or others .	A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)	['neurocognitive_disorder', 'confusion']	1	1
vesper	Bond sets out , more focused than before , knowing that Mr. White and Quantum are still on the loose . The final shot is that of Vesper 's necklace , of which Bond kept throughout the film , lying in the snow . The film then ends on the signature Gunbarrel Sequence .	The Vesper or Vesper Martini is a cocktail that was originally made of gin, vodka, and Kina Lillet.	['cocktail']	2	0
dengue	On Tuesday , May 5 , Bay Area club favorites Dengue Fever will world-premiere their newly composed score for Harry Hoyt 's 1925 dinosaur epic The Lost World .	An acute febrile disease transmitted by the bite of aedes mosquitoes infected with dengue virus. It is self-limiting and characterized by fever, myalgia, headache, and rash. severe dengue is a more virulent form of dengue.	['flavivirus_infection', 'hemorrhagic_fever', 'viral_hemorrhagic_fever', 'arbovirus_infection']	1	0
endorsement	Companies sometimes pay millions for product endorsement by celebrities .	the act of endorsing	['support']	0	1
weather	they were hoping for good weather	the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation	['atmospheric_phenomenon']	0	1
here	where do we go from here ?	the present location; this place	['location']	0	1
vegetation	Pleistocene vegetation	inactivity that is passive and monotonous, comparable to the inactivity of plant life	['quiescence', 'quiescency', 'dormancy', 'sleeping']	0	0
sincerity	his sincerity inspired belief	the quality of being open and truthful; not deceitful or hypocritical	['truthfulness']	0	1
b-52	Set fire to the rum and drink quickly with a metal straw . The B-52 is a shot that is traditionally served pousse-cafe style . This means the layering of the ingredients according to density .	The B-52 (also B52 or Bifi) cocktail is a layered shot composed of a coffee liqueur, an Irish Cream, and a triple sec. When prepared properly, the ingredients separate into three distinctly visible layering (due to their relative densities).	['cocktail']	2	1
path	the hurricane demolished houses in its path	a line or route along which something travels or moves	['line']	0	1
corona	As the Corona virus spreads in Norway , it keeps creating so much news that we ’ re consolidating some of it here .	A viral disorder characterized by high fever; cough; dyspnea; renal dysfunction and other symptoms of a viral pneumonia. A coronavirus sars-CoV-2 in the genus betacoronavirus is the suspected agent.	['pneumonia', 'viral_pneumonia', 'coronavirus_infection']	1	1
dengue	Then , last night , the fishwife and I went out to the Fillmore to see Dengue Fever , and the thing suddenly made sense .	An acute febrile disease transmitted by the bite of aedes mosquitoes infected with dengue virus. It is self-limiting and characterized by fever, myalgia, headache, and rash. severe dengue is a more virulent form of dengue.	['flavivirus_infection', 'hemorrhagic_fever', 'viral_hemorrhagic_fever', 'arbovirus_infection']	1	0
drive	he sliced his drive out of bounds	the trait of being highly motivated	['trait']	0	0
iceberg	iceberg is still the most popular lettuce	a large mass of ice floating at sea; usually broken off of a polar glacier	['floater']	0	0
flux	That high a neutron flux would be lethal in seconds .	in constant change	['change']	0	0
delirium	In fact , got so inspire and relaxed that I went and got my hair cut and coloured a vivid magenta today . On my way to a Delirium inspired punkish flapper do : - )	A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)	['neurocognitive_disorder', 'confusion']	1	0
draw	he played only draw and stud	poker in which a player can discard cards and receive substitutes from the dealer	['poker', 'poker_game']	0	1
kuru	On the other hand , kuru is very famous for it 's cause and symptoms , so it 's often related with portrays of cannibalism in fiction .	A prion disease found exclusively among the Fore linguistic group natives of the highlands of new guinea. The illness is primarily restricted to adult females and children of both sexes. It is marked by the subacute onset of tremor and ataxia followed by motor weakness and incontinence. Death occurs within 3-6 months of disease onset. The condition is associated with ritual cannibalism, and has become rare since this practice has been discontinued. Pathologic features include a noninflammatory loss of neurons that is most prominent in the cerebellum, glial proliferation, and amyloid plaques. (From Adams et al., Principles of Neurology, 6th ed, p773)	['prion_disease']	1	1
manhattan	The primary focus is put on Jonathan , a gay male actor with AIDS who goes on a pilgrimage of sorts to Manhattan , Kansas and the `` real '' ( but imaginary ) Dorothy on whom the book 's fictional version of L. Frank Baum based the character .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	['cocktail']	2	0
delirium	We chose all the sounds and the parts to keep and I think that he conveyed perfectly the spirit of Delirium .	A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)	['neurocognitive_disorder', 'confusion']	1	0
manhattan	In Woody Allen 's 1979 film , Manhattan , the Allen character lists Armstrong 's recording of `` Potato Head Blues '' as one of the reasons that life is worth living .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	['cocktail']	2	0
nursing	She went into nursing as a career .	the profession of a nurse	['health_profession']	0	1
gradient	This post explores how many of the most popular gradient-based optimization algorithms such as Momentum , Adagrad , and Adam actually work .	In vector calculus, the gradient of a scalar-valued differentiable function f of several variables, is the vector field, or more simply a vector-valued function, whose value at a point p is the vector whose components are the partial derivatives of f at p.	['mathematical_operator']	3	0
shift	Shift has received 18,835 plays and has received a rating of 7.4 / 10 with 151 votes .	"The shift key is a modifier key on a keyboard, used to type capital letters and other alternate ""upper"" characters."	['key', 'keyboard_key']	3	0
amygdala	According to Quirk , the fearful memory is still stored in the brain , perhaps elsewhere in the amygdala , but the mPFC actually prevents the memory from generating fear or anxiety ( 3 ) .	Almond-shaped group of basal nuclei anterior to the inferior horn of the lateral ventricle of the temporal lobe. The amygdala is part of the limbic system.	['basal_ganglia', 'limbic_system']	1	1
height	She 's at the height of her career .	the highest level or degree attainable; the highest stage of development	['degree', 'level', 'stage', 'point']	0	1
logic	economic logic requires it	the principles that guide reasoning within a given field or situation	['principle']	0	1
channel	a satellite TV channel	a television station and its programs	['television_station', 'TV_station']	0	1
corona	Americans not drinking Corona beer because of the coronavirus made headlines recently .	A viral disorder characterized by high fever; cough; dyspnea; renal dysfunction and other symptoms of a viral pneumonia. A coronavirus sars-CoV-2 in the genus betacoronavirus is the suspected agent.	['pneumonia', 'viral_pneumonia', 'coronavirus_infection']	1	0
amygdala	Usually , in the heat of the moment , the Amygdala yells loudest and we listen to it .	Almond-shaped group of basal nuclei anterior to the inferior horn of the lateral ventricle of the temporal lobe. The amygdala is part of the limbic system.	['basal_ganglia', 'limbic_system']	1	1
vertigo	The second volume of Brian Wood 's Vertigo graphic novel series Northlanders is set against a backdrop of Viking `` occupation '' of Ireland , including the Battle of Clontarf .	An illusion of movement, either of the external world revolving around the individual or of the individual revolving in space. Vertigo may be associated with disorders of the inner ear (ear, inner); vestibular nerve; brainstem; or cerebral cortex. Lesions in the temporal lobe and parietal lobe may be associated with focal seizures that may feature vertigo as an ictal manifestation. (From Adams et al., Principles of Neurology, 6th ed, pp300-1)	['neurologic_manifestation', 'vestibular_disease']	1	0
manhattan	An early report of the investigation is that the captain of the ship mistakenly lost engine control . The Staten Island Ferry is a major form of transportation between the two New York city boroughs of Manhattan and Staten Island . Five different ships carry approximately 60,000 passengers each day across the New York Harbor .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	['cocktail']	2	0
juncture	We 're at a crucial juncture in our relationship .	a crisis situation or point in time when a critical decision must be made	['crisis']	0	1
string	Your average string , if it exists , is about 10-33 centimeters long . That 's a millionth of a billionth of a billionth of a billionth of a centimeter . If an atom were magnified to the size of the solar system , a string would be the size of a tree .	In computer programming, a string is traditionally a sequence of characters, either as a literal constant or as some kind of variable. The latter may allow its elements to be mutated and the length changed, or it may be fixed (after creation). A string is generally considered as a data type and is often implemented as an array data structure of bytes (or words) that stores a sequence of elements, typically characters, using some character encoding. String may also denote more general arrays or other sequence (or list) data types and structures.	['primitive_data_type']	3	0
zinger	she tried to think of some killer of an argument , a real zinger that would disarm all opposition	a striking or amusing or caustic remark	['remark', 'comment', 'input']	0	1
scream	he heard the scream of the brakes	sharp piercing cry	['cry', 'outcry', 'call', 'yell', 'shout', 'vociferation']	0	0
aviation	Things like Pimm 's Cup and Sangria that can be done punch style are even easier - but I 'm with you , and aviation is a thing of beauty on a summer day .	The Aviation is a classic cocktail made with gin, maraschino liqueur, crème de violette, and lemon juice. Some recipes omit the crème de violette. It is served straight up, in a cocktail glass.	['cocktail']	2	1
web	the trees cast a delicate web of shadows over the lawn	computer network consisting of a collection of internet sites that offer text and graphics and sound and animation resources through the hypertext transfer protocol	['computer_network']	0	0
table	The results are presented in Table I .	A table is an arrangement of data in rows and columns, or possibly in a more complex structure.	['data_structure']	3	1
vengeance	he swore vengeance on the man who betrayed him	the act of taking revenge (harming someone in retaliation for something harmful that they have done) especially in the next life; --Romans 12:19; --James Garfield	['retaliation', 'revenge']	0	1
slot	he followed the deer 's slot over the soft turf to the edge of the trees	a time assigned on a schedule or agenda	['time_interval', 'interval']	0	0
amygdala	In the court system we differentiate between crime of passion and premeditated . The reasoning I just explained to you regarding the amygdala is why .	Almond-shaped group of basal nuclei anterior to the inferior horn of the lateral ventricle of the temporal lobe. The amygdala is part of the limbic system.	['basal_ganglia', 'limbic_system']	1	1
interview	The reporter gave the witness an interview .	the questioning of a person (or a conversation in which information is elicited); often conducted by journalists	['interrogation', 'examination', 'interrogatory']	0	1
americano	It really depends on my mood . I would say all spirits ; when I go out I usually have something along the lines of an Americano or an Old Fashioned ( no fruit ! ) , and I 've had a lot of sparkling wine lately .	"The Americano is an iba official cocktail composed of Campari, sweet vermouth, and for the sparkling version, club soda. The cocktail was first served in creator Gaspare Campari's bar, Caffè Campari, in the 1860s. It was originally known as the ""Milano-Torino"" because of its ingredients: Campari, the bitter liqueur, is from Milan (Milano) and Punt e Mes, the vermouth, is from Turin (Torino)."	['cocktail']	2	1
vertigo	I 'd had been booked off for 2 weeks by the doctor that January with Vertigo , after an incredible amount of stress at work .	An illusion of movement, either of the external world revolving around the individual or of the individual revolving in space. Vertigo may be associated with disorders of the inner ear (ear, inner); vestibular nerve; brainstem; or cerebral cortex. Lesions in the temporal lobe and parietal lobe may be associated with focal seizures that may feature vertigo as an ictal manifestation. (From Adams et al., Principles of Neurology, 6th ed, pp300-1)	['neurologic_manifestation', 'vestibular_disease']	1	1
cosmo	If you want to do your own magazine , that is one thing , but if you want to edit Cosmo , then we simply do n't use men on the cover let alone one with his pants open -- there !	A cosmopolitan, or informally a cosmo, is a cocktail made with vodka, triple sec, cranberry juice, and freshly squeezed lime juice or sweetened lime juice.	['cocktail']	2	0
naught	it was all for naught	complete failure	['failure']	0	0
cosmo	Jim asks for a drink , and as Michael serves him a Cosmo , says he realizes that their boss-employee friendship was brief but not something Jim wanted to keep .	A cosmopolitan, or informally a cosmo, is a cocktail made with vodka, triple sec, cranberry juice, and freshly squeezed lime juice or sweetened lime juice.	['cocktail']	2	1
shift	The sound I sent in the link above plays every time I press either Shift , Crtl or Alt ( maybe even other keys but I have n't tested it yet ) .	"The shift key is a modifier key on a keyboard, used to type capital letters and other alternate ""upper"" characters."	['key', 'keyboard_key']	3	1
base	everything she cooked seemed to have rice as the base	the bottom side of a geometric figure from which the altitude can be constructed	['flank']	0	0
americano	With an unusual aroma like this , I was curious about what this blend would taste like . When brewed as an Americano , Kona Sunrise has a very smooth mouth feel and taste .	"The Americano is an iba official cocktail composed of Campari, sweet vermouth, and for the sparkling version, club soda. The cocktail was first served in creator Gaspare Campari's bar, Caffè Campari, in the 1860s. It was originally known as the ""Milano-Torino"" because of its ingredients: Campari, the bitter liqueur, is from Milan (Milano) and Punt e Mes, the vermouth, is from Turin (Torino)."	['cocktail']	2	0
craft	he represented the craft of brewers	people who perform a particular kind of skilled work	['class', 'stratum', 'social_class', 'socio-economic_class']	0	1
bellini	The similarity of Chopin 's nocturnes to Bellini 's cavatinas ( such as Casta diva from Norma ) has often been noticed , though there is little evidence of direct influence in either direction .	A Bellini cocktail is a mixture of Prosecco sparkling wine and peach purée. Originating in Venice, it is one of Italy's most popular long drinks.	['cocktail']	2	0
claim	they struck in support of their claim for a shorter work day	an assertion of a right (as to money or property)	['assertion', 'averment', 'asseveration']	0	0
delirium	The standard approach to managing delirium is to find and treat the causes of the delirium .	A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)	['neurocognitive_disorder', 'confusion']	1	1
stater	Keystone stater	a resident of a particular state or group of states	['resident', 'occupant', 'occupier']	0	1
favor	the outcome was in his favor	an inclination to approve	['inclination', 'disposition', 'tendency']	0	0
python	Because we often visited more than one facility in a day , we averaged the number of pythons processed at each facility to determine the number of pythons per facility day .	Python is an interpreted, high-level, general-purpose programming language	['object_oriented_programming_language']	3	0
topic	it was a very sensitive topic	some situation or event that is thought about	['content', 'cognitive_content', 'mental_object']	0	0
shift	Therefore , in order to type something like capital W , people with disabilities need to press shift and then W , instead of shift + W at the same time .	"The shift key is a modifier key on a keyboard, used to type capital letters and other alternate ""upper"" characters."	['key', 'keyboard_key']	3	1
station	married above her station	proper or designated social situation	['social_station', 'social_status', 'social_rank', 'rank']	0	1
amnesia	Really for the last few months It was like I was suffering from Amnesia .	Pathologic partial or complete loss of the ability to recall past experiences (amnesia, retrograde) or to form new memories (amnesia, anterograde). This condition may be of organic or psychologic origin. Organic forms of amnesia are usually associated with dysfunction of the diencephalon or hippocampus.	['neurocognitive_disorder', 'memory_disorder']	1	1
subscription	I have a monthly subscription to The Daily Telegraph newspaper .	a payment for consecutive issues of a newspaper or magazine for a given period of time	['payment']	0	1
underbelly	"the soft underbelly of the Axis""- Winston Churchill"	lower side	['bottom', 'underside', 'undersurface']	0	0
daemon	DAEMON Tools Ultra allows you not only to back up data but also to make this process automatic .	In multitasking computer operating systems, a daemon is a computer program that runs as a background process, rather than being under the direct control of an interactive user.	['computer_program']	3	0
edge	his voice had an edge to it	a sharp side formed by the intersection of two surfaces of an object	['side']	0	0
estimation	in my estimation the boy is innocent	the respect with which a person is held	['respect', 'esteem', 'regard']	0	0
pickup	his car has a lot of pickup	a warrant to take someone into custody	['bench_warrant', 'arrest_warrant']	0	0
rudeness	His rudeness was inexcusable .	a manner that is rude and insulting	['manner', 'personal_manner']	0	1
delirium	Recent exposure to anesthesia also increases the risk of delirium developing , particularly in cases of prolonged exposure or when anticholinergics are administered during an operation .	A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)	['neurocognitive_disorder', 'confusion']	1	1
moon	the clock had a moon that showed various phases	any object resembling a moon	['object', 'physical_object']	0	1
fork	For example , you can use forks to propose changes related to fixing a bug .	In software engineering, a project fork happens when developers take a copy of source code from one software package and start independent development on it, creating a distinct and separate piece of software.	['source_code_management_operation']	3	1
need	she satisfied his need for affection	a condition requiring relief	['condition', 'status']	0	1
corona	Italy now reports the second highest number of corona cases wordlwide .	A viral disorder characterized by high fever; cough; dyspnea; renal dysfunction and other symptoms of a viral pneumonia. A coronavirus sars-CoV-2 in the genus betacoronavirus is the suspected agent.	['pneumonia', 'viral_pneumonia', 'coronavirus_infection']	1	1
grasshopper	Argh ! When I was very young - verrrrryyy young - my father would send me out to capture grasshoppers for fishing bait . Perhaps that is why I hold them in little regard .	A grasshopper is a sweet, mint-flavored, after-dinner drink. The name of the drink is derived from its green color, which is provided by the crème de menthe. The drink reputedly originated at Tujague's, a landmark bar in the French Quarter of New Orleans, Louisiana, and gained popularity during the 1950s and 1960s throughout the American South.	['cocktail']	2	0
fork	The fork sensor at the end of the rail checks whether the part is conveyed right up to the stop plate ,	In software engineering, a project fork happens when developers take a copy of source code from one software package and start independent development on it, creating a distinct and separate piece of software.	['source_code_management_operation']	3	0
b-52	We were still a ways from reaching the meeting point with the B-52 , but the boom operators would soon be prepping things in the back for our expected JP-8 guest .	The B-52 (also B52 or Bifi) cocktail is a layered shot composed of a coffee liqueur, an Irish Cream, and a triple sec. When prepared properly, the ingredients separate into three distinctly visible layering (due to their relative densities).	['cocktail']	2	0
law	the law came looking for him	a generalization that describes recurring facts or events in nature	['concept', 'conception', 'construct']	0	0
grace	their youngest son said grace	a short prayer of thanks before a meal	['prayer', 'petition', 'orison']	0	1
python	Hangman Game Using Python	Python is an interpreted, high-level, general-purpose programming language	['object_oriented_programming_language']	3	1
character	the radical character of our demands	a person of a specified kind (usually with many eccentricities)	['adult', 'grownup']	0	0
zero	The temperature outside is ten degrees below zero .	a quantity of no importance	['relative_quantity']	0	0
chapter	he read a chapter every night before falling asleep	a local branch of some fraternity or association	['club', 'social_club', 'society', 'guild', 'gild', 'lodge', 'order']	0	0
analogy	the models show by analogy how matter is built up	drawing a comparison in order to show a similarity in some respect	['comparison', 'comparing']	0	1
crack	The crack of the bat hitting the ball .	a sudden sharp noise	['noise']	0	1
grace	a beautiful figure which she used in subtle movements of unparalleled grace	(Christian theology) a state of sanctification by God; the state of one who is under such divine influence	['state']	0	0
production	they export most of their agricultural production	the act or process of producing something	['act', 'deed', 'human_action', 'human_activity']	0	0
vesper	Brutal and effective . Bond spends a few weeks recovering on Lake Como , then takes up a sailing vacation with Vesper . He tenders his resignation to M. But it turns out Lynd has been blackmailed by Mr. White 's organization to betray Bond and retrieve the money Le Chiffre lost .	The Vesper or Vesper Martini is a cocktail that was originally made of gin, vodka, and Kina Lillet.	['cocktail']	2	0
pastime	sailing is her favorite pastime	a diversion that occupies one's time and thoughts (usually pleasantly)	['diversion', 'recreation']	0	1
corona	Coronaviruses are named for the spikes that protrude from their surfaces , which resemble a crown or the sun 's corona .	A viral disorder characterized by high fever; cough; dyspnea; renal dysfunction and other symptoms of a viral pneumonia. A coronavirus sars-CoV-2 in the genus betacoronavirus is the suspected agent.	['pneumonia', 'viral_pneumonia', 'coronavirus_infection']	1	0
dengue	For Dengue Fever and Everest , Saturday was the last time they 'll be performing locally for awhile , with Dengue Fever departing for a European/American tour through September and Everest on a European tour through mid-July .	An acute febrile disease transmitted by the bite of aedes mosquitoes infected with dengue virus. It is self-limiting and characterized by fever, myalgia, headache, and rash. severe dengue is a more virulent form of dengue.	['flavivirus_infection', 'hemorrhagic_fever', 'viral_hemorrhagic_fever', 'arbovirus_infection']	1	0
class	The pub became a sight of the city , and a meeting place for people of all nations , of all ages and from every social class .	In object-oriented programming, a class is an extensible program-code-template for creating objects, providing initial values for state (member variables) and implementations of behavior (member functions or methods).	['complex_data_type']	3	0
manhattan	Goetz came to symbolize New Yorkers ' frustrations with the high crime rates of the mid 1980s . The incident occurred on the Seventh Avenue 2 express subway train in Manhattan in 1984 . It sparked a nationwide debate on vigilantism , the perceptions of race and crime in major cities , and the legal limits of self-defense .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	['cocktail']	2	0
daemon	If a program accessing the database crashes for some reason , the database daemon notices the lost connection and cleans up any mess left behind .	In multitasking computer operating systems, a daemon is a computer program that runs as a background process, rather than being under the direct control of an interactive user.	['computer_program']	3	1
gradient	Learn more about how you can write and get involved with The Gradient by filling out this short form	In vector calculus, the gradient of a scalar-valued differentiable function f of several variables, is the vector field, or more simply a vector-valued function, whose value at a point p is the vector whose components are the partial derivatives of f at p.	['mathematical_operator']	3	0
den	A den of vice	a hiding place; usually a remote place used by outlaws	['hiding_place']	0	1
charge	he was arrested on a charge of larceny	(criminal law) a pleading describing some wrong or offense	['pleading']	0	1
gradient	A handpicked collection of beautiful color gradients for designers and developers .	In vector calculus, the gradient of a scalar-valued differentiable function f of several variables, is the vector field, or more simply a vector-valued function, whose value at a point p is the vector whose components are the partial derivatives of f at p.	['mathematical_operator']	3	0
manhattan	And I was regretting that I had n't had time to make a batch of my award-winning cookies to bring along tonight . The movie was Woody Allen 's `` Manhattan '' , which neither of us had seen in decades . It 's interesting how our perspective changes with age .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	['cocktail']	2	0
cosmo	Naturally , I have n't polled everybody in the entire world but I do n't need to -- Cosmo has a specific format and although each international editor has her own ideas about what goes in the book , I do n't think they would be along the lines of your particular presentation .	A cosmopolitan, or informally a cosmo, is a cocktail made with vodka, triple sec, cranberry juice, and freshly squeezed lime juice or sweetened lime juice.	['cocktail']	2	0
study	he knocked lightly on the closed door of the study	a branch of knowledge	['knowledge_domain', 'knowledge_base', 'domain']	0	0
sleep	We need to conduct an overnight sleep test to diagnose your sleep problem .	a natural and periodic state of rest during which consciousness of the world is suspended	['physical_condition', 'physiological_state', 'physiological_condition']	0	1
absorption	The absorption of light , heat , electricity , etc .	(physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium	['natural_process', 'natural_action', 'action', 'activity']	0	1
value	the value assigned was 16 milliseconds	relative darkness or lightness of a color; -Joe Hing Lowe	['color_property']	0	0
sensitivity	sensitivity to pain	the ability to respond to physical stimuli or to register small physical amounts or differences	['physical_property']	0	0
population	The population of New Jersey will not stand for this !	a group of organisms of the same species inhabiting a given area	['group', 'grouping']	0	1
half	half an hour	one of two equal parts of a divisible whole	['common_fraction', 'simple_fraction']	0	1
version	his version of the fight was different from mine	something a little different from others of the same type	['type']	0	0
void	Nobody has crossed the void since one man died trying three hundred years ago ; it 's high time we had another go .	an empty area or space	['space']	0	1
class	The purpose of nested classes is to group classes that belong together , which makes your code more readable and maintainable .	In object-oriented programming, a class is an extensible program-code-template for creating objects, providing initial values for state (member variables) and implementations of behavior (member functions or methods).	['complex_data_type']	3	1
couple	he 's coming for a couple of days	a pair who associate with one another	['pair']	0	0
grasshopper	One night , James , who has been shoved out of the house to pick up the litter from the crowd , crawls inside the giant peach , where he finds a most bizarre group of friends - all giant creepy-crawlies : the Centipede , Miss Spider , the Old-Green- Grasshopper , the Silkworm , the Earthworm , Mrs. Ladybird and the Glowworm .	A grasshopper is a sweet, mint-flavored, after-dinner drink. The name of the drink is derived from its green color, which is provided by the crème de menthe. The drink reputedly originated at Tujague's, a landmark bar in the French Quarter of New Orleans, Louisiana, and gained popularity during the 1950s and 1960s throughout the American South.	['cocktail']	2	0
grasshopper	I have n't heard this song in awhile , and it totally brings back memories of my childhood lol . Grasshoppers was my fav group in junior high . And yes , its a funky beat .	A grasshopper is a sweet, mint-flavored, after-dinner drink. The name of the drink is derived from its green color, which is provided by the crème de menthe. The drink reputedly originated at Tujague's, a landmark bar in the French Quarter of New Orleans, Louisiana, and gained popularity during the 1950s and 1960s throughout the American South.	['cocktail']	2	0
crumb	he gave only a crumb of information about his plans	a very small quantity of something	['small_indefinite_quantity', 'small_indefinite_amount']	0	1
vesper	And while I mostly stuck to some old favorites , like The Aviation -- with an exceedingly *light* touch of creme de violette -- and the Vesper ( certainly , monsieur ) , I threw a few new ones in the mix , so to speak .	The Vesper or Vesper Martini is a cocktail that was originally made of gin, vodka, and Kina Lillet.	['cocktail']	2	1
manhattan	Anyway , about Richard King : Born in New York City into a poor Irish family , King was indentured as an apprentice to a jeweler in Manhattan at the age of nine .	A Manhattan is a cocktail made with whiskey, sweet vermouth, and bitters. Commonly used whiskeys include rye (the traditional choice), Canadian whisky (simply called Rye in Canada), bourbon, blended whiskey and Tennessee whiskey. The cocktail is often stirred with ice and strained into a cocktail glass, where it is garnished with a Maraschino cherry with a stem. A Manhattan is also frequently served on the rocks in an Old Fashioned glass (lowball glass).	['cocktail']	2	0
narcolepsy	he believes that narcolepsy is attributable to an inability to suppress REM sleep during waking	a sleep disorder characterized by sudden and uncontrollable episodes of deep sleep	['hypersomnia']	0	1
unemployed	the long - term unemployed need assistance	people who are involuntarily out of work (considered as a group)	['people']	0	1
passion	We share a passion for books .	any object of warm affection or devotion	['object']	0	0
tube	in Paris the subway system is called the ` metro ' and in London it is called the ` tube ' or the ` underground '	an electric railway operating below the surface of the ground (usually in a city)	['railway', 'railroad', 'railroad_line', 'railway_line', 'railway_system']	0	1
mimosa	However , in order to put this part of plan into action , it would help to reach out to the community , educate them about the dangers of Mimosa , and persuade them to help with the uprooting .	"A Mimosa is a cocktail-like drink composed of one part champagne and one part thoroughly chilled citrus fruit juice, usually orange juice unless otherwise specified (e.g. , ""grapefruit mimosa""). It is traditionally served in a tall champagne flute with a morning brunch as hair of the dog or to guests at weddings. It is probably named after the yellow flowers of Acacia dealbata. A Buck's Fizz is a similar cocktail, but with twice as much orange juice as champagne."	['cocktail']	2	0
fork	She spiked the olive with her fork .	In software engineering, a project fork happens when developers take a copy of source code from one software package and start independent development on it, creating a distinct and separate piece of software.	['source_code_management_operation']	3	0
delirium	Delirium may be associated with postoperative exposure to benzodiazepines .	A disorder characterized by confusion; inattentiveness; disorientation; illusions; hallucinations; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)	['neurocognitive_disorder', 'confusion']	1	1
record	the track record shows that he will be a good president	the sum of recognized accomplishments	['accomplishment', 'achievement']	0	1
event	he acted very wise after the event	a special set of circumstances	['circumstance']	0	0
pull	the pull up the hill had him breathing harder	the force used in pulling	['force']	0	0
blue	The boys in blue marched to the pipers .	blue clothing	['clothing', 'article_of_clothing', 'vesture', 'wear', 'wearable', 'habiliment']	0	1
chemistry	the chemistry of soil	the way two individuals relate to each other	['social_relation']	0	0
crispness	the crispness of his reply	a pleasing firmness and freshness	['freshness']	0	0
processing	the processing of ore to obtain minerals	preparing or putting through a prescribed procedure	['process', 'physical_process']	0	1
consultation	a consultation of several medical specialists	a conference between two or more people to consider a particular question	['conference', 'group_discussion']	0	1
aviation	I know a great aviation accident attorney , but I can see we 're talking about a different aviation here ! If this trajectory toward white wine spritzers continues , you 'll have to rename the blog `` The Can't-Quite-Get-a-Buzz-On Baker '' ...	The Aviation is a classic cocktail made with gin, maraschino liqueur, crème de violette, and lemon juice. Some recipes omit the crème de violette. It is served straight up, in a cocktail glass.	['cocktail']	2	1
